"id","cel_kaz","s","period_kaz","cel_rus","raion_kaz","period_rus","raion_rus","source_url","api_endpoint","government_agency"
"3","ауыл шаруашылығы","19179","2024 жыл","сельского хозяйства","Аққйын","2024 год","Аккайынский","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"10","ауыл шаруашылығы","45354","2024 жыл","сельского хозяйства","Тайынша","2024 год","Тайыншинский","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"2","ауыл шаруашылығы","128371","2024 жыл","сельского хозяйства","Ақжар","2024 год","Акжарский","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"9","ауыл шаруашылығы","19903","2024 жыл","сельского хозяйства","Мамлют","2024 год","Мамлютский","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"1","ауыл шаруашылығы","49488","2024 жыл","сельского хозяйства","Айыртау","2024 год","Айыртауский","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"6","ауыл шаруашылығы","53883","2024 жыл","сельского хозяйства","Жамбыл","2024 год","Жамбылский","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"13","ауыл шаруашылығы","26499","2024 жыл","сельского хозяйства","Шал ақын","2024 год","Шал акына","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"5","ауыл шаруашылығы","13633","2024 жыл","сельского хозяйства","Есіл","2024 год","Есильский","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"12","ауыл шаруашылығы","186064","2024 жыл","сельского хозяйства","Уәлиханов","2024 год","Уалихановский","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
"4","ауыл шаруашылығы","28370","2024 жыл","сельского хозяйства","Ғ.Мүсірепов","2024 год","Г.Мусрепова","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","https://data.egov.kz/api/v4/svobodnyeuchastkisko/v29?apiKey=dcc32505f6134b818ec7ce60b1d5b0c6&apiKey=dcc32505f6134b818ec7ce60b1d5b0c6","Local executive Organizations"
